age,no_us_age_dist,us_count,age_popn,age_dist
A00_04B,718716048,19315823,738031871,0.08765369613783518
A05_09B,715908762,19712488,735621250,0.08736739435475475
A10_14B,705553389,21482295,727035684,0.08634771400908668
A15_19B,699920981,21254385,721175366,0.08565170269382048
A20_24B,698390788,21516746,719907534,0.08550112632273335
A25_29B,636448181,23209619,659657800,0.07834545719252936
A30_34B,573032215,22355788,595388003,0.0707123379758142
A35_39B,563057455,21792249,584849704,0.06946073774735244
A40_44B,527074074,20278613,547352687,0.06500733639255751
A45_49B,470342058,20365498,490707556,0.05827977448708816
A50_54B,397801296,20421052,418222348,0.049670937055838825
A55_59B,341373365,21478666,362852031,0.043094780751372665
A60_64B,283970075,20979518,304949593,0.03621789249556475
A65_69B,203489127,17416037,220905164,0.02623620317954351
A70_74B,166325512,14185557,180511069,0.021438725092187517
A75_79B,109662376,9785489,119447865,0.014186442719386516
A80_84B,68201076,6354163,74555239,0.008854688424139449
A85PLUSB,52222261,6335537,58557798,0.006954723276974488
